gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureYears,TotalServices,ChurnBinary,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Risk_Segment,Predicted Churn Score
Male,0,No,No,38.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,69.95,2657.55,No,3.0,7,0,38.0,7,2657.55,5,5,4,554,Champions,Medium-High Risk,20
Male,1,Yes,No,30.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.4,1527.5,Yes,2.0,3,1,30.0,3,1527.5,5,2,3,523,Lost Customers,Medium Risk,20
Female,1,No,No,5.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,78.95,378.4,Yes,0.0,3,1,5.0,3,378.4,2,2,2,222,At-Risk Newbies,High Risk,90
Male,0,No,No,17.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.95,1612.2,No,1.0,5,0,17.0,5,1612.2,4,3,3,433,Loyal Customers,Medium-High Risk,50
Male,0,Yes,Yes,4.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.9,76.65,No,0.0,1,0,4.0,1,76.65,2,1,1,211,At-Risk Newbies,Medium Risk,50
Female,0,No,No,12.0,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,20.15,260.7,No,1.0,1,0,12.0,1,260.7,3,1,1,311,Average Customers,Medium-High Risk,10
Male,0,Yes,Yes,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.6,6441.85,No,6.0,9,0,72.0,9,6441.85,5,5,5,555,Champions,Low Risk,20
Male,0,No,No,3.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.0,266.8,No,0.0,4,0,3.0,4,266.8,1,3,1,131,Average Customers,High Risk,90
Male,0,No,No,56.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.45,5124.6,Yes,4.0,6,1,56.0,6,5124.6,5,4,5,545,Champions,Medium-High Risk,50
Female,0,No,No,41.0,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Mailed check,24.85,962.25,No,3.0,2,0,41.0,2,962.25,5,2,3,523,Lost Customers,Medium Risk,10
Male,0,No,No,40.0,No,No,DSL,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),36.0,1382.9,No,3.0,3,0,40.0,3,1382.9,5,2,3,523,Lost Customers,Low Risk,0
Female,0,No,No,7.0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,78.5,571.05,No,0.0,7,0,7.0,7,571.05,3,5,2,352,Average Customers,High Risk,80
Male,0,No,No,69.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.95,1399.35,No,5.0,1,0,69.0,1,1399.35,5,1,3,513,Lost Customers,Medium Risk,10
Male,0,Yes,Yes,7.0,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.65,150.0,No,0.0,1,0,7.0,1,150.0,3,1,1,311,Average Customers,Medium Risk,50
Female,0,Yes,Yes,5.0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.5,167.2,No,0.0,2,0,5.0,2,167.2,2,2,1,221,At-Risk Newbies,Medium-High Risk,70
Female,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),106.1,7657.4,No,6.0,8,0,72.0,8,7657.4,5,5,5,555,Champions,Medium-High Risk,30
Male,0,Yes,Yes,44.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.5,865.05,No,3.0,1,0,44.0,1,865.05,5,1,2,512,Lost Customers,Medium Risk,10
Female,0,No,No,65.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,95.5,6153.85,No,5.0,6,0,65.0,6,6153.85,5,4,5,545,Champions,Medium-High Risk,30
Female,0,No,No,3.0,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,64.6,174.2,No,0.0,5,0,3.0,5,174.2,1,3,1,131,Average Customers,Medium-High Risk,60
Male,0,No,No,24.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),51.1,1269.6,No,2.0,3,0,24.0,3,1269.6,4,2,3,423,Lost Customers,Low Risk,20
Female,0,No,No,44.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,3862.55,Yes,3.0,5,1,44.0,5,3862.55,5,3,4,534,Loyal Customers,Medium-High Risk,50
Female,1,Yes,No,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.1,6352.4,No,6.0,9,0,72.0,9,6352.4,5,5,5,555,Champions,Medium Risk,20
Male,0,No,No,24.0,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.95,1348.5,No,2.0,4,0,24.0,4,1348.5,4,3,3,433,Loyal Customers,Medium-High Risk,20
Male,0,No,No,1.0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,50.9,50.9,Yes,0.0,3,1,1.0,3,50.9,1,2,1,121,At-Risk Newbies,Low Risk,60
Male,0,Yes,No,22.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),20.45,471.55,No,1.0,1,0,22.0,1,471.55,4,1,2,412,Lost Customers,Medium Risk,30
Male,0,Yes,Yes,70.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.95,5931.75,No,5.0,8,0,70.0,8,5931.75,5,5,5,555,Champions,Low Risk,20
Male,0,Yes,Yes,25.0,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,60.35,1404.65,No,2.0,4,0,25.0,4,1404.65,5,3,3,533,Loyal Customers,Medium-High Risk,20
Male,0,Yes,Yes,37.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.8,726.1,No,3.0,1,0,37.0,1,726.1,5,1,2,512,Lost Customers,Medium Risk,10
Female,1,Yes,Yes,22.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),85.35,1961.6,No,1.0,4,0,22.0,4,1961.6,4,3,3,433,Loyal Customers,Medium-High Risk,50
Female,0,Yes,Yes,59.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),72.1,4194.85,No,4.0,6,0,59.0,6,4194.85,5,4,4,544,Champions,Low Risk,20
Male,0,Yes,Yes,49.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,4872.45,Yes,4.0,6,1,49.0,6,4872.45,5,4,5,545,Champions,Medium-High Risk,50
Male,0,Yes,Yes,47.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.35,5118.95,Yes,3.0,7,1,47.0,7,5118.95,5,5,5,555,Champions,Medium-High Risk,50
Female,0,Yes,Yes,31.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.55,658.95,Yes,2.0,1,1,31.0,1,658.95,5,1,2,512,Lost Customers,Medium Risk,30
Male,0,Yes,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,81.05,No,0.0,3,0,1.0,3,81.05,1,2,1,121,At-Risk Newbies,High Risk,90
Male,0,No,No,3.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,20.5,76.95,No,0.0,1,0,3.0,1,76.95,1,1,1,111,At-Risk Newbies,Medium-High Risk,70
Female,0,Yes,No,53.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),111.8,5809.75,No,4.0,8,0,53.0,8,5809.75,5,5,5,555,Champions,Medium-High Risk,30
Male,0,No,No,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.2,20.2,No,0.0,1,0,1.0,1,20.2,1,1,1,111,At-Risk Newbies,Medium Risk,70
Male,0,No,No,20.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,19.7,415.9,No,1.0,1,0,20.0,1,415.9,4,1,2,412,Lost Customers,Medium Risk,10
Female,0,No,No,3.0,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.1,246.5,Yes,0.0,4,1,3.0,4,246.5,1,3,1,131,Average Customers,High Risk,90
Female,0,No,No,51.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),19.85,996.95,No,4.0,1,0,51.0,1,996.95,5,1,3,513,Lost Customers,Medium Risk,10
Female,0,Yes,No,51.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),60.5,3145.15,No,4.0,5,0,51.0,5,3145.15,5,3,4,534,Loyal Customers,Low Risk,0
Female,0,Yes,Yes,13.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.55,265.3,No,1.0,1,0,13.0,1,265.3,4,1,1,411,Lost Customers,Medium Risk,10
Female,0,No,No,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.9,20.9,No,0.0,1,0,1.0,1,20.9,1,1,1,111,At-Risk Newbies,Medium Risk,70
Male,0,No,Yes,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,21.05,21.05,No,0.0,1,0,1.0,1,21.05,1,1,1,111,At-Risk Newbies,Medium Risk,70
Male,0,No,No,63.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,71.5,4576.3,No,5.0,7,0,63.0,7,4576.3,5,5,5,555,Champions,Medium-High Risk,20
Male,0,No,No,3.0,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,54.65,189.1,No,0.0,3,0,3.0,3,189.1,1,2,1,121,At-Risk Newbies,Low Risk,60
Male,0,No,No,46.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.2,908.15,No,3.0,1,0,46.0,1,908.15,5,1,2,512,Lost Customers,Medium Risk,10
Male,0,No,No,1.0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.8,49.8,No,0.0,3,0,1.0,3,49.8,1,2,1,121,At-Risk Newbies,Low Risk,60
Male,0,No,Yes,8.0,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.5,215.2,Yes,0.0,1,1,8.0,1,215.2,3,1,1,311,Average Customers,Medium Risk,70
Female,0,Yes,Yes,71.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.5,1500.95,No,5.0,1,0,71.0,1,1500.95,5,1,3,513,Lost Customers,Medium Risk,10
Male,0,Yes,Yes,55.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.4,5099.15,No,4.0,5,0,55.0,5,5099.15,5,3,5,535,Loyal Customers,Medium-High Risk,50
Female,0,No,No,70.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),90.25,6385.95,No,5.0,6,0,70.0,6,6385.95,5,4,5,545,Champions,Medium-High Risk,30
Female,0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.75,159.45,Yes,0.0,3,1,2.0,3,159.45,1,2,1,121,At-Risk Newbies,High Risk,90
Male,0,Yes,Yes,67.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),104.6,6885.75,No,5.0,7,0,67.0,7,6885.75,5,5,5,555,Champions,Medium-High Risk,30
Male,0,Yes,No,65.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.85,5940.85,Yes,5.0,5,1,65.0,5,5940.85,5,3,5,535,Loyal Customers,Medium-High Risk,50
Male,0,Yes,No,14.0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),50.2,668.85,No,1.0,3,0,14.0,3,668.85,4,2,2,422,Lost Customers,Low Risk,20
Female,0,Yes,Yes,20.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.5,1916.2,No,1.0,6,0,20.0,6,1916.2,4,4,3,443,Loyal Customers,Medium-High Risk,50
Male,0,No,Yes,1.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,75.35,Yes,0.0,3,1,1.0,3,75.35,1,2,1,121,At-Risk Newbies,High Risk,90
Male,0,No,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.45,75.45,Yes,0.0,3,1,1.0,3,75.45,1,2,1,121,At-Risk Newbies,High Risk,90
Female,0,Yes,Yes,49.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.4,4613.95,No,4.0,5,0,49.0,5,4613.95,5,3,5,535,Loyal Customers,Medium-High Risk,50
Female,0,No,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,No,6.0,7,0,72.0,7,7261.25,5,5,5,555,Champions,Medium-High Risk,30
Female,0,Yes,No,46.0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,53.1,2459.8,No,3.0,4,0,46.0,4,2459.8,5,3,4,534,Loyal Customers,Medium-High Risk,20
Male,0,No,No,24.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.85,2048.8,No,2.0,5,0,24.0,5,2048.8,4,3,4,434,Loyal Customers,Medium-High Risk,50
Female,0,Yes,Yes,5.0,No,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,34.25,163.55,No,0.0,3,0,5.0,3,163.55,2,2,1,221,At-Risk Newbies,Medium-High Risk,60
Female,0,Yes,Yes,33.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),88.6,2888.7,No,2.0,6,0,33.0,6,2888.7,5,4,4,544,Champions,Medium-High Risk,50
Female,0,No,No,42.0,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),60.15,2421.6,No,3.0,5,0,42.0,5,2421.6,5,3,4,534,Loyal Customers,Low Risk,0
Male,0,No,No,23.0,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.95,2292.75,No,1.0,6,0,23.0,6,2292.75,4,4,4,444,Champions,Medium-High Risk,30
Male,0,No,No,8.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.7,553.4,No,0.0,2,0,8.0,2,553.4,3,2,2,322,Average Customers,High Risk,100
Male,0,No,No,66.0,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,54.8,3465.7,No,5.0,4,0,66.0,4,3465.7,5,3,4,534,Loyal Customers,Low Risk,0
Male,0,No,No,24.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.55,1210.4,Yes,2.0,3,1,24.0,3,1210.4,4,2,3,423,Lost Customers,Low Risk,20
Male,1,No,No,24.0,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),54.8,1291.3,No,2.0,4,0,24.0,4,1291.3,4,3,3,433,Loyal Customers,Medium Risk,20
Male,0,No,No,69.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),78.6,5356.45,Yes,5.0,8,1,69.0,8,5356.45,5,5,5,555,Champions,Low Risk,20
Female,0,No,No,53.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,100.3,5200.8,No,4.0,6,0,53.0,6,5200.8,5,4,5,545,Champions,Medium-High Risk,30
Female,0,No,No,60.0,No,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,53.6,3237.05,No,5.0,5,0,60.0,5,3237.05,5,3,4,534,Loyal Customers,Medium-High Risk,0
Female,0,Yes,No,7.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.1,576.65,Yes,0.0,3,1,7.0,3,576.65,3,2,2,322,Average Customers,High Risk,90
Female,0,No,No,20.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),19.35,433.75,No,1.0,1,0,20.0,1,433.75,4,1,2,412,Lost Customers,Medium Risk,10
Female,0,Yes,Yes,23.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.6,1868.4,No,1.0,4,0,23.0,4,1868.4,4,3,3,433,Loyal Customers,Medium-High Risk,50
Male,0,Yes,Yes,72.0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,80.8,5728.55,No,6.0,7,0,72.0,7,5728.55,5,5,5,555,Champions,Medium-High Risk,20
Male,0,Yes,No,11.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,825.7,Yes,0.0,3,1,11.0,3,825.7,3,2,2,322,Average Customers,High Risk,90
Male,0,No,No,21.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.6,390.4,No,1.0,1,0,21.0,1,390.4,4,1,2,412,Lost Customers,Medium Risk,10
Male,1,No,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.55,93.55,Yes,0.0,5,1,1.0,5,93.55,1,3,1,131,Average Customers,High Risk,90
Male,1,No,No,31.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.7,2845.15,No,2.0,5,0,31.0,5,2845.15,5,3,4,534,Loyal Customers,Medium-High Risk,50
Female,0,No,No,57.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,69.75,3894.4,No,4.0,6,0,57.0,6,3894.4,5,4,4,544,Champions,Low Risk,0
Female,0,Yes,Yes,45.0,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.0,886.4,No,3.0,1,0,45.0,1,886.4,5,1,2,512,Lost Customers,Medium Risk,10
Male,0,No,No,10.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.25,1021.55,No,0.0,6,0,10.0,6,1021.55,3,4,3,343,Loyal Customers,High Risk,90
Female,0,Yes,No,58.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.1,5885.4,Yes,4.0,7,1,58.0,7,5885.4,5,5,5,555,Champions,Medium-High Risk,50
Male,0,No,Yes,14.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.95,268.4,No,1.0,1,0,14.0,1,268.4,4,1,2,412,Lost Customers,Medium Risk,30
Male,0,Yes,No,27.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,80.85,2204.35,No,2.0,7,0,27.0,7,2204.35,5,5,4,554,Champions,Low Risk,20
Female,0,Yes,Yes,14.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.9,1259.0,Yes,1.0,5,1,14.0,5,1259.0,4,3,3,433,Loyal Customers,Medium-High Risk,50
Female,0,Yes,Yes,12.0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,29.2,309.1,Yes,1.0,2,1,12.0,2,309.1,3,2,2,322,Average Customers,Medium Risk,30
Female,0,Yes,Yes,69.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),93.3,6398.05,No,5.0,6,0,69.0,6,6398.05,5,4,5,545,Champions,Medium-High Risk,30
Female,0,Yes,Yes,25.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.15,2257.75,Yes,2.0,5,1,25.0,5,2257.75,5,3,4,534,Loyal Customers,Medium-High Risk,50
Male,1,Yes,No,58.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,108.85,6287.25,Yes,4.0,8,1,58.0,8,6287.25,5,5,5,555,Champions,Medium-High Risk,30
Female,0,Yes,Yes,35.0,No,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),46.35,1662.05,No,2.0,4,0,35.0,4,1662.05,5,3,3,533,Loyal Customers,Low Risk,0
Female,1,No,No,16.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.75,1350.15,Yes,1.0,4,1,16.0,4,1350.15,4,3,3,433,Loyal Customers,Medium-High Risk,50
Male,0,Yes,Yes,45.0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),78.75,3600.65,No,3.0,7,0,45.0,7,3600.65,5,5,4,554,Champions,Low Risk,20
Female,0,No,No,17.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,1329.15,No,1.0,4,0,17.0,4,1329.15,4,3,3,433,Loyal Customers,Medium-High Risk,50
Female,0,Yes,Yes,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.7,45.7,Yes,0.0,2,1,1.0,2,45.7,1,2,1,121,At-Risk Newbies,Medium-High Risk,70
Male,0,No,No,22.0,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.6,422.5,No,1.0,1,0,22.0,1,422.5,4,1,2,412,Lost Customers,Medium Risk,10
Female,1,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.95,69.95,Yes,0.0,2,1,1.0,2,69.95,1,2,1,121,At-Risk Newbies,Medium-High Risk,80
Male,0,Yes,Yes,67.0,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,67.85,4627.65,No,5.0,6,0,67.0,6,4627.65,5,4,5,545,Champions,Low Risk,0
Female,0,Yes,Yes,67.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.65,6717.9,No,5.0,7,0,67.0,7,6717.9,5,5,5,555,Champions,Medium-High Risk,30
Female,0,Yes,No,2.0,No,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,44.6,97.1,Yes,0.0,3,1,2.0,3,97.1,1,2,1,121,At-Risk Newbies,Medium-High Risk,60
Male,0,No,No,23.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,1710.45,Yes,1.0,3,1,23.0,3,1710.45,4,2,3,423,Lost Customers,Medium-High Risk,50
Female,1,No,No,9.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),75.5,637.4,No,0.0,3,0,9.0,3,637.4,3,2,2,322,Average Customers,High Risk,90
Female,0,No,No,5.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,117.95,No,0.0,1,0,5.0,1,117.95,2,1,1,211,At-Risk Newbies,Medium Risk,70
Male,0,No,No,54.0,No,No,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,2460.55,No,4.0,4,0,54.0,4,2460.55,5,3,4,534,Loyal Customers,Low Risk,0
Female,0,No,No,57.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,95.25,5464.65,Yes,4.0,5,1,57.0,5,5464.65,5,3,5,535,Loyal Customers,Medium-High Risk,30
Male,0,No,No,24.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,89.85,2165.05,Yes,2.0,5,1,24.0,5,2165.05,4,3,4,434,Loyal Customers,Medium-High Risk,50
Female,0,Yes,Yes,49.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,100.45,4941.8,Yes,4.0,6,1,49.0,6,4941.8,5,4,5,545,Champions,Medium-High Risk,30
Male,0,No,No,5.0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.15,223.15,Yes,0.0,3,1,5.0,3,223.15,2,2,1,221,At-Risk Newbies,Medium-High Risk,60
Male,0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.2,181.1,Yes,0.0,3,1,2.0,3,181.1,1,2,1,121,At-Risk Newbies,High Risk,90
Female,0,No,Yes,4.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,87.1,341.45,Yes,0.0,5,1,4.0,5,341.45,2,3,2,232,Average Customers,High Risk,90
Male,0,Yes,Yes,70.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),79.25,5731.85,No,5.0,8,0,70.0,8,5731.85,5,5,5,555,Champions,Low Risk,20
Male,0,No,No,5.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.9,357.75,Yes,0.0,3,1,5.0,3,357.75,2,2,2,222,At-Risk Newbies,High Risk,90
Male,0,Yes,Yes,53.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,85.7,4616.1,No,4.0,8,0,53.0,8,4616.1,5,5,5,555,Champions,Medium-High Risk,40
Female,0,Yes,No,47.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.75,4533.7,Yes,3.0,7,1,47.0,7,4533.7,5,5,5,555,Champions,Medium-High Risk,50
Female,0,No,Yes,31.0,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),20.1,589.25,No,2.0,1,0,31.0,1,589.25,5,1,2,512,Lost Customers,Medium Risk,10
Male,0,Yes,Yes,13.0,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.8,750.1,No,1.0,5,0,13.0,5,750.1,4,3,2,432,Average Customers,Low Risk,20
Female,0,Yes,Yes,28.0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,49.9,1410.25,No,2.0,3,0,28.0,3,1410.25,5,2,3,523,Lost Customers,Low Risk,20
Female,0,No,No,10.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,86.45,830.85,Yes,0.0,4,1,10.0,4,830.85,3,3,2,332,Average Customers,High Risk,90
Male,0,Yes,No,38.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.4,743.5,No,3.0,1,0,38.0,1,743.5,5,1,2,512,Lost Customers,Medium Risk,10
